weight,diameter,TreeID
97.42,62,3
90.02,62,3
92.62,62,3
93.52,62,3
93.05,63,3
94.20,63,3
88.90,63,3
94.93,63,3
99.31,63,3
97.33,63,3
95.97,63,3
93.69,63,3
98.73,63,3
95.66,63,3
93.40,63,3
95.96,64,3
91.86,64,3
94.49,64,3
99.08,64,3
102.25,64,3
100.29,64,3
81.58,64,3
97.39,64,3
94.38,64,3
98.80,64,3
101.41,64,3
99.05,64,3
100.18,64,3
102.85,64,3
105.93,65,3
104.29,65,3
97.86,65,3
104.55,65,3
102.55,65,3
124.80,65,3
102.82,65,3
108.12,65,3
102.20,65,3
108.26,65,3
107.33,66,3
95.48,66,3
107.46,66,3
105.30,66,3
104.47,66,3
122.74,66,3
109.83,67,3
109.63,67,3
113.99,67,3
88.76,67,3
127.06,67,3
104.18,67,3
114.06,67,3
114.69,67,3
124.08,67,3
114.78,67,3
115.57,67,3
115.12,68,3
119.28,68,3
125.61,68,3
116.65,68,3
117.76,68,3
120.61,68,3
120.65,68,3
126.92,68,3
124.42,68,3
106.20,68,3
126.56,69,3
124.30,69,3
126.50,69,3
124.49,69,3
126.85,69,3
128.07,69,3
124.12,69,3
120.97,69,3
128.65,69,3
129.53,70,3
133.55,70,3
110.99,70,3
125.47,70,3
131.84,71,3
128.81,71,3
139.44,72,3
150.54,74,3
154.72,75,3
164.11,77,3
48.92,50,4
58.90,53,4
64.90,54,4
65.76,55,4
61.91,55,4
75.62,57,4
72.52,57,4
74.64,57,4
79.45,58,4
79.87,59,4
79.18,59,4
89.01,60,4
92.67,61,4
92.86,61,4
90.51,62,4
100.91,62,4
98.53,63,4
98.46,63,4
98.02,63,4
97.63,64,4
101.20,64,4
105.42,64,4
97.27,64,4
103.24,64,4
104.82,65,4
108.49,65,4
107.51,65,4
113.86,65,4
107.72,65,4
106.88,66,4
108.96,66,4
110.57,66,4
109.76,66,4
113.28,66,4
115.98,66,4
110.89,66,4
111.30,66,4
113.50,67,4
114.92,67,4
114.60,67,4
117.46,67,4
118.38,67,4
111.68,67,4
113.58,67,4
116.57,67,4
125.96,68,4
121.16,68,4
124.84,68,4
117.30,68,4
127.20,68,4
120.95,68,4
125.88,68,4
122.80,68,4
122.31,69,4
121.75,69,4
124.95,69,4
113.66,69,4
127.08,69,4
128.21,69,4
127.75,69,4
128.73,70,4
131.06,70,4
135.18,70,4
125.79,70,4
133.43,71,4
137.83,71,4
141.00,71,4
140.82,71,4
139.03,71,4
136.72,71,4
140.87,72,4
144.40,72,4
147.04,72,4
145.44,72,4
140.46,72,4
128.01,72,4
144.51,72,4
146.03,72,4
138.56,72,4
144.95,73,4
147.26,73,4
145.46,73,4
148.65,73,4
155.82,73,4
145.37,73,4
149.69,73,4
149.67,74,4
153.52,74,4
178.42,74,4
146.61,74,4
156.97,74,4
156.59,74,4
154.58,74,4
159.00,75,4
142.94,75,4
174.18,77,4
35.07,43,5
35.37,44,5
35.65,44,5
51.93,47,5
45.31,49,5
49.74,50,5
52.16,50,5
52.47,50,5
54.95,51,5
52.99,51,5
55.60,51,5
54.19,52,5
56.25,52,5
57.81,53,5
58.06,53,5
60.71,53,5
58.06,53,5
64.05,53,5
60.49,54,5
63.12,54,5
63.53,54,5
64.58,56,5
67.54,56,5
71.37,56,5
73.38,57,5
65.87,57,5
75.94,57,5
73.99,57,5
76.78,58,5
77.31,58,5
76.78,58,5
74.95,58,5
75.79,58,5
77.49,59,5
79.83,59,5
81.48,59,5
79.25,59,5
76.91,59,5
82.43,59,5
