yr,site,tree,fruit,diam1,diam2,fw
17,bd,4,1,35,72,168
17,bd,4,3,43,79,214
17,bd,4,4,34,77,189
17,bd,4,5,38,86,276
17,bd,4,6,43,64,248
17,bd,4,7,43,83,260
17,bd,4,8,39,78,204
17,bd,4,9,37,74,181
17,bd,5,2,44,86,288
17,bd,5,3,43,85,285
17,bd,5,4,40,83,266
17,bd,5,5,45,88,317
17,bd,5,6,42,84,280
17,bd,5,7,43,83,240
17,bd,5,8,45,84,280
17,bd,5,9,36,70,151
17,bd,6,0,37,73,180
17,bd,6,1,41,82,264
17,bd,6,2,42,84,242
17,bd,6,3,45,88,299
17,bd,6,4,45,87,299
17,bd,6,5,45,82,241
17,bd,6,6,43,86,292
17,bd,6,7,34,72,163
17,bd,6,8,36,74,183
17,bd,6,9,43,83,264
17,bd,7,0,41,82,243
17,bd,7,1,36,70,141
17,bd,7,2,43,82,253
17,bd,7,3,42,83,257
17,bd,7,4,37,77,214
17,bd,7,5,42,84,260
17,bd,7,6,39,77,189
17,bd,7,7,39,77,202
17,bd,7,8,39,72,165
17,bd,7,9,43,81,240
17,bd,8,1,42,85,258
17,bd,8,2,40,82,264
17,bd,8,3,37,80,236
17,bd,8,4,39,77,204
17,bd,8,5,37,76,190
17,bd,8,6,40,80,233
17,bd,8,7,44,83,262
17,bd,8,8,37,76,181
17,bd,8,9,44,86,294
17,bd,9,0,43,85,272
17,bd,9,1,40,81,250
17,bd,9,2,38,81,236
17,bd,9,3,39,77,210
17,bd,9,4,36,74,169
17,bd,9,5,41,80,230
17,bd,9,6,33,69,146
17,bd,9,7,39,77,212
17,bd,9,8,41,83,250
17,bd,9,9,40,82,244
17,bd,10,0,41,81,260
17,bd,10,1,43,86,305
17,bd,10,3,35,73,155
17,bd,10,4,40,77,214
17,bd,10,5,43,86,275
17,bd,10,6,38,77,193
17,bd,10,7,43,87,314
17,bd,10,8,35,75,199
17,bd,10,9,38,75,187
17,bd,12,0,42,82,243
17,bd,12,1,36,75,187
17,bd,12,2,42,84,245
17,bd,12,3,36,73,167
17,bd,12,4,41,80,235
17,bd,12,5,44,82,251
17,bd,12,6,40,74,182
17,bd,12,7,35,83,240
17,bd,12,8,34,70,145
17,bd,12,9,37,75,188
17,bd,14,0,31,71,147
17,bd,14,2,42,88,298
17,bd,14,3,44,86,293
17,bd,14,4,42,82,224
17,bd,14,5,42,83,246
17,bd,14,6,38,79,205
17,bd,14,7,38,76,208
17,bd,14,8,37,76,186
17,bd,14,9,45,92,345
