diameter,weight,cultivar
86,288,fuji
85,285,fuji
83,266,fuji
88,317,fuji
84,280,fuji
83,240,fuji
84,280,fuji
70,151,fuji
73,180,fuji
82,264,fuji
84,242,fuji
88,299,fuji
87,299,fuji
82,241,fuji
86,292,fuji
72,163,fuji
74,183,fuji
83,264,fuji
82,243,fuji
70,141,fuji
82,253,fuji
83,257,fuji
77,214,fuji
84,260,fuji
77,189,fuji
77,202,fuji
72,165,fuji
81,240,fuji
85,258,fuji
82,264,fuji
80,236,fuji
77,204,fuji
76,190,fuji
80,233,fuji
83,262,fuji
76,181,fuji
86,294,fuji
85,272,fuji
81,250,fuji
81,236,fuji
77,210,fuji
74,169,fuji
80,230,fuji
69,146,fuji
77,212,fuji
83,250,fuji
82,244,fuji
81,260,fuji
86,305,fuji
73,155,fuji
77,214,fuji
86,275,fuji
77,193,fuji
87,314,fuji
75,199,fuji
75,187,fuji
82,243,fuji
75,187,fuji
84,245,fuji
73,167,fuji
80,235,fuji
82,251,fuji
74,182,fuji
83,240,fuji
70,145,fuji
75,188,fuji
71,147,fuji
88,298,fuji
86,293,fuji
82,224,fuji
83,246,fuji
79,205,fuji
76,208,fuji
76,186,fuji
92,345,fuji
67,126.94,elstar
70,142.97,elstar
70,128.8,elstar
72,140.36,elstar
52,59.63,elstar
53,59.2,elstar
53,89.52,elstar
57,77.91,elstar
57,77.26,elstar
58,74.88,elstar
60,86.56,elstar
60,87.66,elstar
60,94.33,elstar
61,91.79,elstar
61,90.4,elstar
61,93.08,elstar
61,94.88,elstar
61,93.6,elstar
61,90.24,elstar
62,90.56,elstar
62,94.61,elstar
62,95.73,elstar
62,101.65,elstar
62,95.33,elstar
62,94.42,elstar
62,97.7,elstar
62,94.58,elstar
62,98.03,elstar
62,97.77,elstar
63,95,elstar
63,101.21,elstar
63,98.71,elstar
63,95.11,elstar
63,96.63,elstar
63,101.36,elstar
64,99.52,elstar
64,105.83,elstar
64,104.08,elstar
64,98.67,elstar
64,105.92,elstar
64,102.86,elstar
64,104.82,elstar
64,106.87,elstar
64,104.59,elstar
64,110.77,elstar
65,106.31,elstar
65,104.16,elstar
65,106.99,elstar
65,104.33,elstar
65,105.78,elstar
65,111.74,elstar
65,105.52,elstar
65,107.29,elstar
65,102.55,elstar
65,108.62,elstar
65,111.34,elstar
65,109.16,elstar
65,105.93,elstar
65,107.92,elstar
65,109.86,elstar
65,113.81,elstar
65,106.41,elstar
66,110.3,elstar
66,106.73,elstar
66,115.11,elstar
66,113.51,elstar
